16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,17,12,12,12,12,12,12,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,12,16
16,12,17,12,12,12,15,17,12,14,14,12,12,12,17,12,12,12,15,15,15,12,12,12,12,12,12,12,17,12,12,16
16,12,12,12,14,15,12,12,17,12,12,12,12,12,17,20,12,12,16,13,15,15,15,20,12,12,12,12,12,17,12,16
16,12,13,14,14,15,12,12,12,12,12,12,12,20,12,12,12,12,16,16,16,16,16,16,12,12,12,12,12,12,12,16
16,12,12,13,12,16,16,16,12,12,12,12,12,12,12,12,12,12,17,12,12,12,12,12,12,12,12,12,12,12,12,16
16,12,12,21,12,12,12,16,12,12,12,12,12,12,12,12,12,17,12,12,12,12,12,12,12,12,12,21,12,13,13,16
16,12,12,12,17,12,12,12,12,12,12,12,12,13,17,12,12,12,17,12,12,12,12,12,12,12,21,12,12,16,16,16
16,12,12,21,21,12,12,12,20,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,15,12,12,12,16
16,12,12,17,12,12,12,12,12,20,12,12,12,16,12,12,12,15,15,13,13,15,12,13,16,12,15,15,12,12,12,16
16,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,16,16,16,16,16,12,12,16,12,12,12,12,12,12,16
16,12,12,12,12,15,19,13,13,12,13,12,12,16,13,12,12,12,12,12,12,12,12,12,16,12,12,21,21,12,12,16
16,12,12,12,12,12,16,16,16,16,16,12,12,12,12,12,14,13,21,13,12,12,12,12,16,12,12,12,12,21,15,16
16,13,21,13,12,12,12,12,12,12,16,12,12,12,12,12,14,16,16,16,16,16,12,12,16,20,12,15,15,15,15,16
16,16,16,16,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,16,13,12,15,14,14,14,16
16,12,12,12,12,12,17,12,12,12,12,12,12,17,21,17,12,12,12,12,12,12,12,12,12,12,12,16,14,14,15,16
16,13,13,12,12,12,12,17,12,12,12,12,21,12,12,12,12,12,12,12,12,21,20,12,12,12,13,16,15,13,13,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
