8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11
4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6
4,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,6
4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,12,12,12,6
4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6
4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6
4,12,12,12,12,12,12,12,12,18,18,18,18,18,12,12,12,12,12,12,12,6
4,12,12,12,12,12,12,12,12,18,12,12,12,12,12,12,12,12,12,12,12,6
4,12,19,12,12,12,12,12,12,18,12,12,12,12,12,12,12,12,12,12,12,6
4,12,12,19,12,12,12,12,12,18,18,12,12,12,12,12,12,12,12,12,12,6
4,12,12,19,19,12,12,12,12,12,18,18,12,12,12,12,12,12,12,12,12,6
4,12,12,12,19,19,19,12,12,12,12,18,18,18,12,12,12,12,12,12,12,6
4,12,12,12,12,12,19,19,12,12,12,12,12,12,18,18,18,12,12,12,12,6
4,12,12,12,12,12,12,19,12,12,12,12,12,12,12,12,12,12,12,12,12,6
4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6
9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
